"Rk","Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Notes","Team","Year"
25,"Logan Pfannenbecker",2,3,1,2,0,0,0,0,0,0,0,1,1,0,0.667,0,0.667,0,NA,1,0,0,0,NA,"11453d72",2023
26,"Owen Podolec",5,9,8,1,1,0,0,0,1,0,0,1,1,0.125,0.222,0.125,0.347,1,NA,0,0,0,0,NA,"11453d72",2023
27,"Randy Reyes",8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,0,0,0,0,NA,"11453d72",2023
28,"Joe Rios",18,50,46,6,10,1,1,2,9,0,1,1,18,0.217,0.24,0.413,0.653,19,NA,1,0,2,0,NA,"11453d72",2023
29,"Skye Selinsky",38,103,79,15,22,4,0,1,10,14,3,21,29,0.279,0.441,0.367,0.808,29,NA,2,1,0,1,NA,"11453d72",2023
30,"Billy Sullivan",36,110,100,9,25,7,0,0,10,3,3,8,21,0.25,0.318,0.32,0.638,32,NA,2,0,0,0,NA,"11453d72",2023
31,"Jimmy Sullivan",16,38,31,2,8,0,0,0,3,3,0,6,11,0.258,0.395,0.258,0.653,8,NA,1,0,0,0,NA,"11453d72",2023
32,"Darius Troche",8,13,11,1,1,0,0,0,0,0,1,1,2,0.091,0.167,0.091,0.258,1,NA,0,1,0,0,NA,"11453d72",2023
33,"Evan Ulrich",4,5,4,1,1,0,0,0,0,0,0,1,1,0.25,0.4,0.25,0.65,1,NA,0,0,0,0,NA,"11453d72",2023
34,"Jose Vargas",1,2,1,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0.5,0,NA,0,0,0,0,NA,"11453d72",2023
1,"Griffin Arnone",40,146,122,24,32,7,0,2,16,16,4,21,41,0.262,0.375,0.369,0.744,45,NA,1,2,0,2,NA,"152b121e",2022
2,"Trevor Austin",7,21,16,1,4,0,0,0,3,0,0,1,3,0.25,0.333,0.25,0.583,4,NA,2,0,2,0,NA,"152b121e",2022
3,"Chris Baillargeon",2,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,0,1,0,0,NA,"152b121e",2022
4,"Luke Broadhurst",17,44,29,6,4,0,0,0,1,0,0,12,11,0.138,0.419,0.138,0.557,4,NA,2,1,0,0,NA,"152b121e",2022
5,"Andrew Calhoun",26,60,53,2,8,1,0,0,4,1,2,5,23,0.151,0.233,0.17,0.403,9,NA,1,0,1,0,NA,"152b121e",2022
6,"Dave Christoforo",2,9,8,0,2,1,0,0,4,0,0,1,2,0.25,0.333,0.375,0.708,3,NA,0,0,0,0,NA,"152b121e",2022
7,"Craig Corliss",6,11,8,0,2,0,0,0,0,0,0,3,2,0.25,0.455,0.25,0.705,2,NA,0,0,0,0,NA,"152b121e",2022
8,"Dante D'Amore",4,6,4,2,0,0,0,0,0,0,0,2,4,0,0.333,0,0.333,0,NA,0,0,0,0,NA,"152b121e",2022
9,"Tyler Fote",26,71,64,6,12,4,0,0,7,1,2,3,21,0.188,0.239,0.25,0.489,16,NA,2,0,2,0,NA,"152b121e",2022
10,"AJ Gaich",23,102,73,21,17,2,1,0,6,14,2,28,26,0.233,0.446,0.288,0.733,21,NA,0,1,0,0,NA,"152b121e",2022
11,"Jake Gaudreau",4,8,7,0,2,0,0,0,1,0,0,1,2,0.286,0.375,0.286,0.661,2,NA,0,0,0,0,NA,"152b121e",2022
12,"Jay Harry",31,116,98,11,31,7,0,0,16,3,1,9,6,0.316,0.379,0.388,0.767,38,NA,4,0,5,0,NA,"152b121e",2022
13,"Ben Huber",26,94,78,21,20,5,0,1,7,6,0,11,29,0.256,0.383,0.359,0.742,28,NA,5,0,0,0,NA,"152b121e",2022
